# Scalar output
"Time","VMax"
6.709822119450935e+08,9.836973057266791e-10
6.843939455000254e+08,9.835665145900173e-10
6.973093323535016e+08,9.834444182517558e-10
7.098870049849426e+08,9.833290379886225e-10
7.222547665395162e+08,9.832188717271628e-10
7.345301947962327e+08,9.831126562921505e-10
7.468343967246715e+08,9.830092265077807e-10
7.592972041706128e+08,9.829074677950144e-10
7.717040708276519e+08,9.828090782827977e-10
7.841563644406452e+08,9.827131612869165e-10
7.967634354698526e+08,9.826188543380849e-10
8.096572144249132e+08,9.825252281536390e-10
8.230097867308756e+08,9.824311856893863e-10
8.370691604183021e+08,9.823352644953125e-10
8.522494793503283e+08,9.822351398249394e-10
8.670592627636851e+08,9.821407809366750e-10
8.811970676308004e+08,9.820536534412335e-10
8.948243725152640e+08,9.819723044473566e-10
9.080917129135938e+08,9.818955042440723e-10
9.211146964593338e+08,9.818223475317435e-10
9.339922107790604e+08,9.817521118718786e-10
9.468177802005689e+08,9.816841758765475e-10
9.596881692674245e+08,9.816179651532055e-10
9.727123174626696e+08,9.815529061898474e-10
9.859359306814559e+08,9.814887921249748e-10
9.991927284705826e+08,9.814264240336883e-10
1.012571122204673e+09,9.813653643515634e-10
1.026169809938202e+09,9.813051806522688e-10
1.040109061599647e+09,9.812454030243258e-10
1.054549936981799e+09,9.811854591833358e-10
1.069740273500579e+09,9.811245214393994e-10
1.084508584261300e+09,9.810672974775512e-10
1.098389040614734e+09,9.810152784431374e-10
1.111590687789314e+09,9.809673471135098e-10
1.124242040733233e+09,9.809227897604723e-10
1.136424772622423e+09,9.808811241171305e-10
1.148194934959670e+09,9.808419980978338e-10
1.159594152850867e+09,9.808051371421126e-10
1.170656866139639e+09,9.807703121503119e-10
1.181415640859142e+09,9.807373181430034e-10
1.191905196089818e+09,9.807059598657364e-10
1.202165407562412e+09,9.806760424131387e-10
1.212243650566411e+09,9.806473650418304e-10
1.222197175066043e+09,9.806197157965788e-10
1.232096703994638e+09,9.805928637126229e-10
1.242033422150927e+09,9.805665434648529e-10
1.252134294104792e+09,9.805404213815809e-10
1.262600611378096e+09,9.805140095276766e-10
1.273569631938199e+09,9.804870249989814e-10
1.285153072504455e+09,9.804592794638662e-10
1.296178531263033e+09,9.804335650910670e-10
1.307264638169810e+09,9.804083716491393e-10
1.317315247358898e+09,9.803860887575225e-10
1.326866852781194e+09,9.803653897625743e-10
1.345390789392035e+09,9.803265281639416e-10
1.363857027146095e+09,9.802894005567593e-10
1.382784705735054e+09,9.802529348703644e-10
1.392535727783201e+09,9.802347514352273e-10
1.402523029437906e+09,9.802165384960066e-10
1.412768860367183e+09,9.801982758670528e-10
1.423283995645251e+09,9.801799665662569e-10
1.434065756359750e+09,9.801616378289631e-10
1.444991093113416e+09,9.801435135647222e-10
1.456038869005927e+09,9.801256347496748e-10
1.467281426814142e+09,9.801078935001436e-10
1.478818258770653e+09,9.800901525535387e-10
1.490546064576432e+09,9.800725904741671e-10
1.502403922727412e+09,9.800553085471042e-10
1.514408421988305e+09,9.800382903156894e-10
1.526596048156261e+09,9.800214952778041e-10
1.539027581723694e+09,9.800048569781922e-10
1.551795270571158e+09,9.799882786766407e-10
1.563833512119030e+09,9.799731138080745e-10
1.575201152014411e+09,9.799592035096489e-10
1.586165676971383e+09,9.799461589969771e-10
1.596875694292417e+09,9.799337664322319e-10
1.607425186423149e+09,9.799218933807715e-10
1.617882364945876e+09,9.799104478430342e-10
1.628301887034733e+09,9.798993608589873e-10
1.638629705960412e+09,9.798886810755833e-10
1.648696058268872e+09,9.798785655456272e-10
1.658541818850067e+09,9.798689497303798e-10
1.668195942174424e+09,9.798597855916884e-10
1.677682089053700e+09,9.798510336142765e-10
1.696225052705864e+09,9.798346396657790e-10
1.714300922340816e+09,9.798195517329954e-10
1.732062481767508e+09,9.798055644133728e-10
1.749812738744429e+09,9.797923931889869e-10
1.768038822929202e+09,9.797796813372617e-10
1.777645285470385e+09,9.797733020116547e-10
1.788043178030561e+09,9.797666389983225e-10
1.804787303212856e+09,9.797564198459408e-10
