# Scalar output
"Time","VMax"
6.709822129603401e+08,9.836973057166163e-10
6.843939465126863e+08,9.835665145803177e-10
6.973093333738599e+08,9.834444182423352e-10
7.098870059492830e+08,9.833290379799067e-10
7.222547675315673e+08,9.832188717184884e-10
7.345301957554133e+08,9.831126562840520e-10
7.468343975909826e+08,9.830092265006318e-10
7.592972050956421e+08,9.829074677875526e-10
7.717040718224055e+08,9.828090782750191e-10
7.841563655177994e+08,9.827131612786724e-10
7.967634366442542e+08,9.826188543293594e-10
8.096572157143250e+08,9.825252281445005e-10
8.230097880949409e+08,9.824311856800716e-10
8.370691618806299e+08,9.823352644852919e-10
8.522494812440021e+08,9.822351398126136e-10
8.670592646150604e+08,9.821407809250332e-10
8.811970695325561e+08,9.820536534297093e-10
8.948243743476924e+08,9.819723044366045e-10
9.080917146983901e+08,9.818955042338310e-10
9.211146980881537e+08,9.818223475228846e-10
9.339922123978754e+08,9.817521118628276e-10
9.468177818291487e+08,9.816841758679589e-10
9.596881709861747e+08,9.816179651447017e-10
9.727123191188732e+08,9.815529061817857e-10
9.859359322894843e+08,9.814887921172067e-10
9.991927301403744e+08,9.814264240256959e-10
1.012571123855473e+09,9.813653643442137e-10
1.026169811776851e+09,9.813051806442774e-10
1.040109063646086e+09,9.812454030156287e-10
1.054549939156479e+09,9.811854591745989e-10
1.069740275715208e+09,9.811245214305910e-10
1.084508586256751e+09,9.810672974700433e-10
1.098389042488904e+09,9.810152784361795e-10
1.111590689630591e+09,9.809673471067730e-10
1.124242042558323e+09,9.809227897540730e-10
1.136424774448067e+09,9.808811241111326e-10
1.148194936688520e+09,9.808419980920206e-10
1.159594154449819e+09,9.808051371368172e-10
1.170656867778616e+09,9.807703121450769e-10
1.181415642416701e+09,9.807373181384424e-10
1.191905197586405e+09,9.807059598614444e-10
1.202165409058229e+09,9.806760424089068e-10
1.212243651929496e+09,9.806473650379236e-10
1.222197176460445e+09,9.806197157928687e-10
1.232096705371203e+09,9.805928637089529e-10
1.242033423462991e+09,9.805665434615279e-10
1.252134295439790e+09,9.805404213780114e-10
1.262600612759671e+09,9.805140095244562e-10
1.273569633324472e+09,9.804870249957651e-10
1.285153073991040e+09,9.804592794604733e-10
1.296178532556530e+09,9.804335650881156e-10
1.307264639249150e+09,9.804083716464407e-10
1.317315248306297e+09,9.803860887556818e-10
1.326866853618301e+09,9.803653897609623e-10
1.345390790199768e+09,9.803265281624540e-10
1.363857028020270e+09,9.802894005549310e-10
1.382784706548481e+09,9.802529348686805e-10
1.392535728578892e+09,9.802347514337239e-10
1.402523030309676e+09,9.802165384946757e-10
1.412768861246310e+09,9.801982758655734e-10
1.423283996542727e+09,9.801799665645008e-10
1.434065757286790e+09,9.801616378278807e-10
1.444991093867813e+09,9.801435135637402e-10
1.456038869798496e+09,9.801256347481995e-10
1.467281427594329e+09,9.801078934991092e-10
1.478818259488739e+09,9.800901525524001e-10
1.490546065298898e+09,9.800725904732851e-10
1.502403923461224e+09,9.800553085456891e-10
1.514408422795360e+09,9.800382903144509e-10
1.526596048990708e+09,9.800214952766417e-10
1.539027582593309e+09,9.800048569769415e-10
1.551795271539449e+09,9.799882786753460e-10
1.563833513114750e+09,9.799731138068879e-10
1.575201152945000e+09,9.799592035084985e-10
1.586165677927757e+09,9.799461589961915e-10
1.596875695154758e+09,9.799337664309212e-10
1.607425187271578e+09,9.799218933797214e-10
1.617882365734325e+09,9.799104478421806e-10
1.628301887719388e+09,9.798993608581336e-10
1.638629706591241e+09,9.798886810753709e-10
1.648696058853266e+09,9.798785655452783e-10
1.658541819499466e+09,9.798689497297745e-10
1.668195942763895e+09,9.798597855913476e-10
1.677682089591384e+09,9.798510336141003e-10
1.696225053171286e+09,9.798346396659474e-10
1.714300922900529e+09,9.798195517325024e-10
1.732062482503256e+09,9.798055644123909e-10
1.749812739494760e+09,9.797923931883456e-10
1.768038823628218e+09,9.797796813368851e-10
1.777645286227360e+09,9.797733020110415e-10
1.788043178870373e+09,9.797666389972445e-10
1.804787303853568e+09,9.797564198456844e-10
1.819888559200767e+09,9.797477193502071e-10
1.833944755670823e+09,9.797400358427918e-10
1.847657198243907e+09,9.797329023121933e-10
1.861430493169456e+09,9.797260736578549e-10
1.875571865331387e+09,9.797193889290898e-10
1.890349491319479e+09,9.797127305656808e-10
1.906010858682659e+09,9.797060104077568e-10
1.922774042770654e+09,9.796991699218228e-10
1.940159875382787e+09,9.796924289751491e-10
1.957769558771078e+09,9.796859396801583e-10
1.975783400732602e+09,9.796796291446720e-10
1.994460999861467e+09,9.796734154076969e-10
2.004187617536246e+09,9.796703070935596e-10
2.014306994165053e+09,9.796671638488664e-10
2.025012509808563e+09,9.796639378972009e-10
2.036415685972334e+09,9.796606132904694e-10
2.048075018581445e+09,9.796573328190901e-10
2.060083014611848e+09,9.796540803104128e-10
2.071878295719408e+09,9.796510110569991e-10
2.082528866783534e+09,9.796483479765532e-10
2.092565471365241e+09,9.796459338494443e-10
2.102243054249326e+09,9.796436951654171e-10
2.120963550085067e+09,9.796396184993127e-10
2.139227045377979e+09,9.796359738950032e-10
2.157318933029061e+09,9.796327004034988e-10
2.175440505047193e+09,9.796297722821690e-10
2.193764064344483e+09,9.796271850196960e-10
2.211749100875667e+09,9.796250281948066e-10
2.229221772188288e+09,9.796233125846867e-10
2.246303939095463e+09,9.796220120393355e-10
2.263033628860453e+09,9.796211113444269e-10
2.279374680257624e+09,9.796205960793754e-10
2.295300748767168e+09,9.796204442755227e-10
2.310843661344348e+09,9.796206291455360e-10
2.326139680598308e+09,9.796211282149093e-10
2.341887331284251e+09,9.796219632426396e-10
2.355470351806496e+09,9.796229370603801e-10
2.368009793555498e+09,9.796240359999146e-10
2.379247165766521e+09,9.796251755831917e-10
2.389857395599632e+09,9.796263771839582e-10
2.400198560011326e+09,9.796276563465657e-10
2.410515804907358e+09,9.796290283410191e-10
2.421006609107103e+09,9.796305096405198e-10
2.431847639554160e+09,9.796321182180133e-10
2.443208905630737e+09,9.796338734660933e-10
2.455262522022398e+09,9.796357958655270e-10
2.468186768782763e+09,9.796379060064425e-10
2.482138887086773e+09,9.796402182520529e-10
2.496435057456455e+09,9.796426019106705e-10
2.510930700230385e+09,9.796450130760249e-10
2.525689241248580e+09,9.796474440884169e-10
2.540773839838844e+09,9.796498888916183e-10
2.556280690818563e+09,9.796523482267075e-10
2.572384355392483e+09,9.796548361098524e-10
2.589422579286195e+09,9.796573910501708e-10
2.608169083938442e+09,9.796601121482327e-10
2.618864173758276e+09,9.796616255164903e-10
2.630107769192140e+09,9.796631894276370e-10
2.640610121816717e+09,9.796646285037081e-10
2.651112487171337e+09,9.796660502681713e-10
2.660765927576441e+09,9.796673452799000e-10
2.678804858670338e+09,9.796697468931947e-10
2.696017636285597e+09,9.796720349964918e-10
2.712822988095246e+09,9.796742877081109e-10
