# Scalar output
"Time","VMax"
1.776652338871539e+09,9.859594617224389e-10
1.788249789047153e+09,9.859539566042014e-10
1.799414583275694e+09,9.859489261773813e-10
1.810520593156250e+09,9.859441170655128e-10
1.821632316912309e+09,9.859394728130129e-10
1.832793602641064e+09,9.859349684353942e-10
1.844293318152990e+09,9.859304907621467e-10
1.856444432599774e+09,9.859259344276217e-10
1.869705885684442e+09,9.859211610466437e-10
1.884922522009952e+09,9.859159327498560e-10
1.901045066925376e+09,9.859106757724216e-10
1.915378656404411e+09,9.859062409623158e-10
1.928813392940671e+09,9.859022842524620e-10
1.941771143687263e+09,9.858986491299020e-10
1.954455856381126e+09,9.858952617658603e-10
1.967015725439430e+09,9.858920733805363e-10
1.979590221941281e+09,9.858890445562864e-10
1.992333444568146e+09,9.858861392473936e-10
2.005265264091370e+09,9.858833565944420e-10
2.018533582554926e+09,9.858806708708189e-10
2.032381972701665e+09,9.858780454866186e-10
2.047134164728224e+09,9.858754422711005e-10
2.062916831929358e+09,9.858728777896860e-10
2.078960962789703e+09,9.858705967293432e-10
2.093153761013443e+09,9.858688086536570e-10
2.106406432169128e+09,9.858671371627524e-10
2.120373327155473e+09,9.858658202904198e-10
2.132464911594875e+09,9.858641010060346e-10
2.146344284154217e+09,9.858629211521848e-10
2.159181718198516e+09,9.858616424960018e-10
2.172774508045073e+09,9.858606722327202e-10
2.185787745385951e+09,9.858596564492531e-10
2.198357584589746e+09,9.858586773636973e-10
2.210536805804346e+09,9.858578552406742e-10
2.222535773523218e+09,9.858572083546705e-10
2.234527654803673e+09,9.858566863175971e-10
2.246641482539670e+09,9.858562570708741e-10
2.258498775962422e+09,9.858559196106001e-10
2.270128919903711e+09,9.858556633475080e-10
2.281712494692633e+09,9.858554778270915e-10
2.293456278157018e+09,9.858553579783544e-10
2.305769709644372e+09,9.858553042290133e-10
2.319457303319885e+09,9.858553299106136e-10
2.331183031678756e+09,9.858554236403177e-10
2.341554149870709e+09,9.858555623628818e-10
2.355508205268704e+09,9.858558326546575e-10
2.368438769602426e+09,9.858561690668344e-10
2.381004549321095e+09,9.858565742110884e-10
2.393728021019473e+09,9.858570606769715e-10
2.407095616424282e+09,9.858576506731466e-10
2.416637293983304e+09,9.858581187133016e-10
2.426945965863677e+09,9.858586659227174e-10
2.438417910278750e+09,9.858593229160499e-10
2.451319789698845e+09,9.858601187736465e-10
2.465038381818871e+09,9.858610274832976e-10
2.478740180206094e+09,9.858619966421684e-10
2.491297903088065e+09,9.858629380238260e-10
2.503303864263076e+09,9.858638861774599e-10
2.514947546098658e+09,9.858648522481837e-10
2.526327410388342e+09,9.858658428214685e-10
2.537457399870884e+09,9.858668582390703e-10
2.548239939176777e+09,9.858678879065148e-10
2.558832262951349e+09,9.858689450012345e-10
2.569375941862212e+09,9.858700432082885e-10
2.579999315994653e+09,9.858711967036476e-10
2.590830189315445e+09,9.858724214056686e-10
2.602006613319330e+09,9.858737363375567e-10
2.613690179849436e+09,9.858751655811976e-10
2.626088641541035e+09,9.858767417508751e-10
2.639490065276428e+09,9.858785116596557e-10
2.653305600943993e+09,9.858804044780583e-10
2.667397026916907e+09,9.858824014455524e-10
2.681833701442796e+09,9.858845106883614e-10
2.696391432462992e+09,9.858866956706897e-10
2.710565873330547e+09,9.858888725379030e-10
2.724435247176827e+09,9.858910441213462e-10
2.737989653013904e+09,9.858932019533965e-10
2.751214775374801e+09,9.858953387806144e-10
2.763888467015073e+09,9.858974148513288e-10
2.775450659135365e+09,9.858993338059974e-10
2.786305533799727e+09,9.859011584453505e-10
2.796714352622191e+09,9.859029297241633e-10
2.806851349673672e+09,9.859046755271702e-10
2.816849819035305e+09,9.859064176115924e-10
2.826823454163551e+09,9.859081748543050e-10
2.836878554934034e+09,9.859099651606113e-10
2.847085716937418e+09,9.859118002595859e-10
2.857113735156470e+09,9.859136187259952e-10
2.866970193007559e+09,9.859154192482398e-10
2.876763689814943e+09,9.859172193916623e-10
2.886620926934310e+09,9.859190408201939e-10
2.896728965423275e+09,9.859209172123056e-10
2.907416252583637e+09,9.859229097093591e-10
2.918938482488079e+09,9.859250676466131e-10
2.928994205606422e+09,9.859269602127296e-10
2.942568120284472e+09,9.859295323701838e-10
2.954445919937029e+09,9.859318050738703e-10
