# Scalar output
"Time","VMax"
2.847511201260476e+09,9.859118771155582e-10
2.857529894932388e+09,9.859136944987120e-10
2.867381477674415e+09,9.859154946380538e-10
2.877174883504038e+09,9.859172951909845e-10
2.887038196779039e+09,9.859191181142253e-10
2.897162874944335e+09,9.859209979428830e-10
2.907878477831531e+09,9.859229960776385e-10
2.919453528095110e+09,9.859251643561267e-10
2.929933473310598e+09,9.859271374964777e-10
2.943356997944803e+09,9.859296826035702e-10
2.955170395381297e+09,9.859319445058386e-10
2.966366249710396e+09,9.859341132670954e-10
2.977388457896052e+09,9.859362776155416e-10
2.987732522134294e+09,9.859383389051461e-10
2.997790311104252e+09,9.859403731642911e-10
3.007993608700742e+09,9.859424678280723e-10
3.018714162740522e+09,9.859447019097796e-10
3.030332977623680e+09,9.859471600273684e-10
3.043326158841577e+09,9.859499508865437e-10
3.053115547497938e+09,9.859520797875886e-10
3.064324708369289e+09,9.859545411547833e-10
3.076555089274094e+09,9.859572502071996e-10
3.089121482857824e+09,9.859600522544752e-10
3.101420765455727e+09,9.859628059940423e-10
3.113328584041800e+09,9.859654768688188e-10
3.125110591252344e+09,9.859681198977755e-10
3.136866973390666e+09,9.859707550530179e-10
3.148629653477463e+09,9.859733888648740e-10
3.160392263718274e+09,9.859760211284361e-10
3.172130148614972e+09,9.859786492064657e-10
3.183817207789004e+09,9.859812714217221e-10
3.195437977212439e+09,9.859838892949384e-10
3.206857728869643e+09,9.859864775878717e-10
3.218002522895548e+09,9.859890240268883e-10
3.228999949507239e+09,9.859915619296014e-10
3.239952632264967e+09,9.859941195895197e-10
3.250953506106216e+09,9.859967241049435e-10
3.262094286250789e+09,9.859994038258629e-10
3.273471121052855e+09,9.860021903619715e-10
3.285189113831753e+09,9.860051205590154e-10
3.297366620274417e+09,9.860082387779633e-10
3.310139830761861e+09,9.860115996592935e-10
3.323667266433415e+09,9.860152713244896e-10
3.337778794961793e+09,9.860192371219504e-10
3.351633679781487e+09,9.860232755717539e-10
3.364891123588534e+09,9.860272792545602e-10
3.377282632323789e+09,9.860311439802666e-10
3.388805888024142e+09,9.860348388431048e-10
3.399638127397626e+09,9.860383924629376e-10
3.410008382225513e+09,9.860418574224151e-10
3.420156329198161e+09,9.860452968386001e-10
3.430356002992924e+09,9.860487911921324e-10
3.441021770022830e+09,9.860524737979214e-10
3.453150825013464e+09,9.860566839927366e-10
3.465363000088796e+09,9.860609353026235e-10
3.476149944519637e+09,9.860646932814727e-10
3.486009145179191e+09,9.860681258622726e-10
3.495507105537386e+09,9.860714273061652e-10
3.509568640040317e+09,9.860762985407598e-10
3.523809688389603e+09,9.860812022602834e-10
3.533505857767331e+09,9.860845185092334e-10
3.543046615755528e+09,9.860877605580775e-10
3.557175214027153e+09,9.860925190132504e-10
3.571360618785019e+09,9.860972428660886e-10
3.581053487979846e+09,9.861004404968351e-10
3.591350691613804e+09,9.861038135714310e-10
3.602818893290157e+09,9.861075473907159e-10
3.616343886054886e+09,9.861119343798177e-10
